movie_id,title,budget,genre,cast,director,runtime,release_date,production_company,language,country,IMDB_rating,number_of_votes,box_office_revenue
1208,Movie_1208,13612754.0,Drama,"Zendaya, Jennifer Lawrence",Patty Jenkins,136.0,2018-05-06,Walt Disney Pictures,Chinese,Australia,7.2,7574.0,11634719
257,Movie_257,11522148.0,Comedy,"Will Smith, Gal Gadot, Anya Taylor-Joy",Bong Joon-ho,82.0,2003-07-23,Paramount Pictures,English,Canada,9.2,10129.0,85388098
2357,Movie_2357,21064347.0,Comedy,"Denzel Washington, Taylor Thespian",Zack Snyder,76.0,2002-10-05,Columbia Pictures,English,Italy,8.3,5583.0,31884100
176,Movie_176,6613083.0,Drama,"Sam Star, Zendaya",Ridley Scott,83.0,2019-07-27,DreamWorks,English,China,9.4,2638.0,20158653
212,Movie_212,,Horror,"Sam Star, Margot Robbie, Chris Evans",Zack Snyder,87.0,2024-04-05,NEON,Korean,Australia,7.1,12343.0,419753546
412,Movie_412,72225211.0,Mystery,"Jordan Talent, Riley Role, Taylor Thespian, Amy Adams",Sofia Coppola,127.0,2005-01-08,DreamWorks,English,South Korea,5.4,11729.0,59268465
53,Movie_53,66455768.0,Animation,"Lupita Nyong'o, Viola Davis, Scarlett Johansson, Dwayne Johnson",Greta Gerwig,123.0,2018-09-29,Village Roadshow,Hindi,UK,7.2,16689.0,226999498
267,Movie_267,9141582.0,Western,"Pat Player, Samuel L. Jackson",Chloe Zhao,124.0,2008-06-18,Columbia Pictures,English,South Korea,7.9,6884.0,35936115
480,Movie_480,27285740.0,Musical,"Zendaya, Denzel Washington",Jane Doe,95.0,2001-12-16,20th Century Studios,English,France,6.3,10828.0,32650842
1293,Movie_1293,55747145.0,Crime,"Awkwafina, John Doe A, Jake Gyllenhaal, Jennifer Lawrence",Wes Anderson,102.0,2003-12-03,Legendary Entertainment,English,Canada,7.3,15725.0,74946029
2873,Movie_2873,152588382.0,Mystery,"Awkwafina, Leonardo DiCaprio, Jane Doe B",Bong Joon-ho,109.0,2007-10-15,Regency Enterprises,German,India,8.8,17042.0,126561277
1518,Movie_1518,34929913.0,Western,"Pedro Pascal, Benedict Cumberbatch, Jake Gyllenhaal",Chloe Zhao,118.0,2010-08-31,Blumhouse Productions,Italian,UK,7.8,13371.0,53599525
300,Movie_300,6813335.0,Animation,"Zendaya, Florence Pugh, Jane Doe B",Peter Jackson,116.0,2013-05-01,Walt Disney Pictures,English,France,8.3,12691.0,40233124
757,Movie_757,85136816.0,Thriller,"Emma Stone, Tom Holland, Florence Pugh, Taylor Thespian",Zack Snyder,104.0,2010-02-22,Focus Features,English,Italy,5.7,10919.0,211191435
45,Movie_45,80507092.0,Musical,"Viola Davis, Natalie Portman, Samuel L. Jackson",Taylor Green,161.0,2004-03-11,Universal Pictures,Korean,Australia,6.3,18579.0,39125860
2949,Movie_2949,3166020.0,Comedy,"Morgan Screen, Scarlett Johansson",Sam Mendes,136.0,2001-01-29,Paramount Pictures,German,India,6.7,6244.0,2506255
1367,Movie_1367,2767780.0,Crime,"Christian Bale, Sam Star",Sam Mendes,102.0,2001-04-07,Regency Enterprises,Portuguese,Italy,6.2,9099.0,3724042
2429,Movie_2429,113317391.0,Romance,"Leonardo DiCaprio, Ryan Gosling, Robert Downey Jr.",Patty Jenkins,110.0,2002-06-02,20th Century Studios,Korean,Japan,8.5,12589.0,225698948
1792,Movie_1792,6044273.0,Fantasy,"Will Smith, Tom Holland",Alex Rivera,106.0,2001-05-12,Focus Features,Portuguese,South Korea,6.5,9870.0,4937882
1652,Movie_1652,12296056.0,Biography,"Viola Davis, Dwayne Johnson, Casey Celeb",James Cameron,100.0,2000-03-29,Paramount Pictures,English,China,10.0,6330.0,55298963
1778,Movie_1778,18258071.0,Musical,"Morgan Freeman, Denzel Washington, Brad Pitt",Michael Bay,147.0,2002-01-03,A24,English,India,7.2,8144.0,24121475
832,Movie_832,14456449.0,Animation,"Pat Player, Cate Blanchett, Pedro Pascal",Alex Rivera,88.0,2023-09-06,Lionsgate,Italian,Australia,6.9,10189.0,27891090
2620,Movie_2620,33322390.0,Western,"Tom Holland, Jane Doe B, Amy Adams",Martin Scorsese,121.0,2016-01-13,Metro-Goldwyn-Mayer,English,Japan,5.9,10331.0,25831969
2575,Movie_2575,91775830.0,Adventure,"Alex Actor, Jake Gyllenhaal, Joaquin Phoenix",Chris Park,97.0,2003-08-15,Annapurna Pictures,English,UK,4.6,11653.0,76122552
671,Movie_671,176736482.0,Action,"Jordan Talent, Taylor Thespian, Gal Gadot, Emma Stone",Ryan Coogler,80.0,2019-06-22,Lionsgate,English,Canada,6.2,14140.0,1087362574
1079,Movie_1079,34607257.0,Musical,"Saoirse Ronan, Charlize Theron, Idris Elba",Denis Villeneuve,60.0,2016-11-24,Walt Disney Pictures,English,South Korea,5.2,11044.0,131182555
1408,Movie_1408,4775275.0,Adventure,"John Doe A, Ryan Gosling, Samuel L. Jackson",Barry Jenkins,117.0,2015-04-09,NEON,Italian,USA,8.2,12176.0,6064406
930,Movie_930,99030035.0,Drama,"Will Smith, Brad Pitt",Wes Anderson,68.0,2012-07-18,Columbia Pictures,Hindi,France,6.3,8705.0,195737508
2892,Movie_2892,,Mystery,"Joaquin Phoenix, Taylor Thespian, Leonardo DiCaprio, Natalie Portman",Kathryn Bigelow,92.0,2008-04-05,Warner Bros.,Hindi,Germany,9.0,12056.0,8627284
529,Movie_529,19703095.0,Comedy,"Jordan Talent, Tom Holland, Tom Hanks",Alex Rivera,84.0,2022-03-22,New Line Cinema,English,France,6.7,13180.0,20376703
2107,Movie_2107,38192335.0,Drama,"Robert Downey Jr., Denzel Washington, Pedro Pascal, Jordan Talent",Casey Brown,125.0,2015-11-20,A24,Spanish,Japan,8.5,6742.0,29952986
1376,Movie_1376,4336834.0,Drama,"Awkwafina, Amy Adams, Leonardo DiCaprio, Casey Celeb",Drew White,154.0,2024-10-12,Walt Disney Pictures,Spanish,South Korea,7.4,14077.0,3848281
94,Movie_94,64476241.0,Musical,"Casey Celeb, Brie Larson",Jordan Peele,100.0,2001-07-02,New Line Cinema,Chinese,Australia,6.5,14319.0,76673053
1718,Movie_1718,16661236.0,Mystery,"Scarlett Johansson, Jane Doe B",Peter Jackson,69.0,2022-03-21,Columbia Pictures,French,Italy,7.2,4464.0,12054358
1732,Movie_1732,143362175.0,Animation,"Dwayne Johnson, Anya Taylor-Joy, Tom Hanks, Lupita Nyong'o",Alex Rivera,98.0,2020-10-29,DreamWorks,Portuguese,Italy,6.3,16440.0,236746678
193,Movie_193,47701960.0,Family,"Awkwafina, Jordan Talent, Charlize Theron, Viola Davis",Greta Gerwig,90.0,2024-12-14,New Line Cinema,German,Italy,8.1,8541.0,56795897
64,Movie_64,30184258.0,Sci-Fi,"Tom Holland, Gal Gadot, Emma Stone, Margot Robbie",Michael Bay,152.0,2009-07-22,Columbia Pictures,Portuguese,USA,7.3,11885.0,91551523
1962,Movie_1962,48706792.0,Western,"Robert Downey Jr., Jane Doe B, Morgan Screen",Zack Snyder,131.0,2021-01-05,A24,Chinese,Australia,8.5,10483.0,23781406
2563,Movie_2563,5022947.0,Horror,"Morgan Freeman, Brie Larson, Meryl Streep, Sandra Bullock",Sofia Coppola,136.0,2001-09-23,Amblin Entertainment,English,South Korea,7.6,4576.0,8144232
1095,Movie_1095,8271584.0,Adventure,"Lupita Nyong'o, Oscar Isaac, Gal Gadot",Ridley Scott,101.0,2015-06-17,Walt Disney Pictures,Italian,Brazil,6.9,7258.0,26256108
1963,Movie_1963,8756454.0,Crime,"Benedict Cumberbatch, Jordan Talent, Gal Gadot, John Doe A",Steven Spielberg,124.0,2007-08-07,DreamWorks,English,Japan,9.5,11288.0,41516875
2187,Movie_2187,2485843.0,Romance,"Lupita Nyong'o, Sam Star, Brad Pitt, Idris Elba",Pat Quinn,69.0,2016-01-07,20th Century Studios,English,Brazil,6.3,8918.0,1419815
2543,Movie_2543,11435610.0,Thriller,"Chris Evans, Denzel Washington, Sam Star, Tom Hanks",Tim Burton,117.0,2007-10-16,20th Century Studios,Portuguese,Australia,6.0,5024.0,24978479
1196,Movie_1196,400000000.0,Crime,"Florence Pugh, Gal Gadot, Robert Downey Jr.",Denis Villeneuve,112.0,2008-11-02,Amblin Entertainment,Japanese,China,7.7,11408.0,1328893292
1712,Movie_1712,14534099.0,Biography,"Tom Holland, Zendaya",John Smith,98.0,2009-01-03,New Line Cinema,English,France,7.9,7040.0,11516440
2806,Movie_2806,161168007.0,Action,"Natalie Portman, Anya Taylor-Joy, Joaquin Phoenix, Ryan Gosling",Tim Burton,129.0,2014-08-29,Lionsgate,English,Brazil,7.9,16640.0,559394749
2514,Movie_2514,84181645.0,Horror,"Scarlett Johansson, Robert Downey Jr., Joaquin Phoenix, Alex Actor",Jordan Peele,100.0,2024-11-04,Lionsgate,Portuguese,Australia,8.4,15634.0,137610177
2665,Movie_2665,8183954.0,War,"Meryl Streep, Zendaya",Greta Gerwig,114.0,2010-07-23,Regency Enterprises,Italian,Italy,7.6,1582.0,17420692
2639,Movie_2639,29640980.0,Crime,"Sam Star, Leonardo DiCaprio, Dwayne Johnson, Taylor Thespian",Ridley Scott,152.0,2017-12-27,Warner Bros.,English,Italy,7.8,12349.0,34640545
651,Movie_651,38914072.0,Animation,"Anya Taylor-Joy, Pedro Pascal",Denis Villeneuve,88.0,2002-09-11,NEON,German,France,8.0,11267.0,87518492
566,Movie_566,7977953.0,Sci-Fi,"Charlize Theron, Jane Doe B, Awkwafina",Jamie Lee,132.0,2024-01-02,Warner Bros.,English,Germany,7.5,8534.0,7270400
417,Movie_417,5637626.0,Fantasy,"Awkwafina, Timothée Chalamet, Samuel L. Jackson",Taylor Green,120.0,2010-12-30,Village Roadshow,English,South Korea,8.0,4644.0,11422540
2679,Movie_2679,5948186.0,Horror,"Oscar Isaac, Ryan Gosling",Quentin Tarantino,111.0,2002-07-06,Searchlight Pictures,Spanish,Italy,6.4,4567.0,7024188
1489,Movie_1489,285950280.0,Comedy,"Chris Evans, Brie Larson",Ava DuVernay,96.0,2025-04-15,Paramount Pictures,Chinese,Australia,8.8,15875.0,765247901
565,Movie_565,11376120.0,War,"Joaquin Phoenix, Scarlett Johansson, Riley Role, Saoirse Ronan",Tim Burton,106.0,2022-01-19,Columbia Pictures,Japanese,Canada,7.1,9376.0,26530418
768,Movie_768,12745296.0,Fantasy,"Emma Stone, Ana de Armas, Chris Evans, Florence Pugh",Casey Brown,89.0,2001-12-21,New Line Cinema,French,India,7.2,8814.0,15730009
299,Movie_299,,Family,"Morgan Freeman, Emma Stone, Amy Adams",Taylor Green,124.0,2015-10-30,Warner Bros.,English,Canada,6.1,13671.0,37168884
2930,Movie_2930,8234253.0,Adventure,"Oscar Isaac, Cate Blanchett, Jane Doe B, Tom Holland",Ryan Coogler,,2003-11-06,Annapurna Pictures,English,China,7.2,5991.0,34567776
2674,Movie_2674,12800840.0,Fantasy,"Lupita Nyong'o, Florence Pugh, Brie Larson, John Doe A",Martin Scorsese,96.0,2012-11-28,Focus Features,Japanese,UK,8.8,5431.0,47742510
1608,Movie_1608,54888822.0,Western,"Morgan Screen, Sam Star, Amy Adams",Jane Doe,88.0,2005-07-24,DreamWorks,German,India,7.0,5410.0,18090625
1026,Movie_1026,20569293.0,Horror,"Jane Doe B, Amy Adams",Kathryn Bigelow,132.0,2008-12-02,Village Roadshow,English,UK,8.3,13590.0,49845159
555,Movie_555,37607181.0,Documentary,"Joaquin Phoenix, Will Smith, Tom Hanks",Denis Villeneuve,95.0,2022-04-16,NEON,Japanese,Canada,9.4,9631.0,57598991
